target,180.0
ms,dist,encL,encR,sp,state
10,0.0,0,0,2.9,0
20,0.0,0,0,6.0,0
30,0.0,0,0,9.0,0
40,0.0,0,0,12.0,0
50,0.0,0,0,15.0,0
60,0.0,0,0,18.0,0
70,0.0,0,0,20.9,0
80,0.0,0,0,23.9,0
90,0.0,0,0,26.9,0
100,0.0,0,0,29.9,0
110,0.0,0,0,32.9,0
120,0.0,0,0,35.9,0
130,0.0,0,0,38.9,0
140,0.0,0,0,41.9,0
150,0.0,0,0,44.9,0
160,0.0,0,0,47.9,0
170,0.0,0,0,50.9,0
180,0.0,0,0,53.9,0
190,0.0,0,0,56.9,0
200,0.0,0,0,59.9,0
210,0.0,0,0,62.9,0
220,0.0,0,0,65.9,0
230,0.0,0,0,68.9,0
240,0.0,0,0,71.9,0
250,0.0,0,0,75.0,0
260,0.0,0,0,78.0,0
270,0.0,0,0,81.0,0
280,0.0,0,0,84.0,0
290,0.0,0,0,87.0,0
300,0.0,0,0,90.0,0
310,0.3,0,1,93.0,0
320,0.3,0,1,96.0,0
330,0.3,0,1,99.0,0
340,0.3,0,1,102.0,0
350,0.7,1,1,105.0,0
360,0.7,1,1,108.0,0
370,0.7,1,1,111.0,0
380,0.7,1,1,114.0,0
390,0.7,1,1,117.0,0
400,0.7,1,1,120.0,0
410,0.7,1,1,123.0,0
420,1.0,1,2,126.0,0
430,1.4,1,3,129.0,0
440,1.4,1,3,132.0,0
450,2.1,2,4,135.0,0
460,2.4,2,5,138.0,0
470,3.1,3,6,141.0,0
480,3.5,3,7,144.0,0
490,4.2,4,8,147.0,0
500,4.9,5,9,150.0,0
510,5.2,5,10,153.0,0
520,6.3,7,11,156.0,0
530,7.3,8,13,159.0,0
540,7.7,9,13,162.0,0
550,8.4,9,15,165.0,0
560,9.4,10,17,168.0,0
570,10.5,12,18,171.0,0
580,11.5,14,19,174.0,0
590,12.2,14,21,177.0,0
600,13.6,16,23,180.0,0
610,14.3,17,24,183.0,0
620,15.4,18,26,186.0,0
630,16.4,19,28,189.0,0
640,17.8,21,30,192.0,0
650,19.2,23,32,195.0,0
660,20.6,25,34,198.0,0
670,21.3,26,35,201.0,0
680,22.7,28,37,204.0,0
690,24.1,30,39,207.0,0
700,25.9,32,42,210.0,0
710,27.3,34,44,213.0,0
720,28.7,36,46,216.0,0
730,30.4,38,49,219.0,0
740,31.8,40,51,222.0,0
750,33.6,42,54,225.0,0
760,35.3,45,56,228.0,0
770,36.7,46,59,231.0,0
780,38.5,49,61,234.0,0
790,40.2,51,64,237.0,0
800,42.3,54,67,240.0,0
810,44.1,57,69,243.0,0
820,45.8,59,72,246.0,0
830,47.9,62,75,249.0,0
840,49.7,64,78,252.0,0
850,51.8,67,81,255.0,0
860,53.9,70,84,258.0,0
870,56.0,73,87,261.0,0
880,58.1,76,90,264.0,0
890,60.2,79,93,267.0,0
900,62.3,82,96,265.7,0
910,64.4,85,99,263.3,0
920,66.8,88,103,260.5,0
930,68.9,91,106,258.1,0
940,71.0,94,109,255.6,0
950,73.1,97,112,253.1,0
960,75.2,100,115,250.6,0
970,77.3,103,118,248.1,0
980,79.4,106,121,245.6,0
990,81.5,109,124,243.0,0
1000,83.6,111,128,240.4,0
1010,85.7,114,131,237.7,0
1020,87.8,117,134,235.1,0
1030,90.3,121,137,231.9,0
1040,92.0,123,140,229.7,0
1050,93.8,125,143,227.4,0
1060,96.2,129,146,224.1,0
1070,98.0,132,148,221.7,0
1080,100.1,135,151,218.9,0
1090,102.2,137,155,216.0,0
1100,103.9,140,157,213.5,0
1110,106.0,143,160,210.6,0
1120,108.1,146,163,207.6,0
1130,109.9,148,166,205.0,0
1140,112.0,151,169,201.9,0
1150,113.4,153,171,199.8,0
1160,115.5,156,174,196.7,0
1170,117.6,159,177,193.4,0
1180,119.0,161,179,191.2,0
1190,120.7,163,182,188.5,0
1200,122.5,166,184,185.7,0
1210,124.6,169,187,182.2,0
1220,126.3,171,190,179.3,0
1230,127.7,173,192,177.0,0
1240,129.5,176,194,174.0,0
1250,131.6,179,197,170.3,0
1260,133.0,181,199,167.9,0
1270,134.7,183,202,164.7,0
1280,136.1,185,204,162.1,0
1290,137.5,187,206,159.5,0
1300,139.3,190,208,156.2,0
1310,141.4,193,211,152.1,0
1320,142.4,194,213,150.0,0
1330,143.8,196,215,147.2,0
1340,145.6,199,217,143.6,0
1350,147.0,201,219,140.6,0
1360,148.4,203,221,137.6,0
1370,150.1,205,224,133.7,0
1380,151.5,207,226,130.6,0
1390,152.9,209,228,127.3,0
1400,154.0,211,229,124.8,0
1410,155.4,213,231,121.4,0
1420,156.4,214,233,118.8,0
1430,157.8,216,235,115.2,0
1440,159.2,218,237,111.5,0
1450,160.3,219,239,108.6,0
1460,161.7,221,241,104.7,0
1470,162.7,223,242,101.6,0
1480,163.8,225,243,98.5,0
1490,164.8,226,245,95.2,0
1500,166.2,228,247,90.7,0
1510,167.3,229,249,87.2,0
1520,168.0,230,250,84.7,0
1530,169.0,232,251,80.9,0
1540,170.1,233,253,76.9,0
1550,171.1,235,254,72.7,0
1560,171.8,236,255,69.8,0
1570,172.9,237,257,65.1,0
1580,173.6,238,258,61.8,0
1590,174.6,240,259,56.5,0
1600,175.3,241,260,52.7,0
1610,175.7,241,261,50.6,0
1620,176.4,242,262,46.3,0
1630,177.1,243,263,41.5,0
1640,178.5,245,265,29.8,0
1650,178.5,245,265,29.8,0
1660,178.5,245,265,29.8,0
1670,179.2,247,265,21.6,0
1680,179.5,248,265,16.0,0
1690,180.2,249,266,0.0,1
1700,180.2,249,266,0.0,1
1710,180.2,249,266,0.0,1
1720,180.2,249,266,0.0,1
1730,180.2,249,266,0.0,1
1740,180.2,249,266,0.0,1
1750,180.2,249,266,0.0,1
1760,180.2,249,266,0.0,1
1770,180.2,249,266,0.0,1
1780,180.2,249,266,0.0,1
1790,180.2,249,266,0.0,1
1800,180.2,249,266,0.0,1
1810,180.2,249,266,0.0,1
1820,180.2,249,266,0.0,1
1830,180.2,249,266,0.0,1
1840,180.2,249,266,0.0,1
1850,180.2,249,266,0.0,1
1860,180.2,249,266,0.0,1
1870,180.2,249,266,0.0,1
1880,180.2,249,266,0.0,1
1890,180.2,249,266,0.0,1
1900,180.2,249,266,0.0,1
1910,180.2,249,266,0.0,1
1920,180.2,249,266,0.0,1
1930,180.2,249,266,0.0,1
1940,180.2,249,266,0.0,1
1950,180.2,249,266,0.0,1
1960,180.2,249,266,0.0,1
1970,180.2,249,266,0.0,1
1980,180.2,249,266,0.0,1
1990,180.2,249,266,0.0,1
2000,180.2,249,266,0.0,1
2010,180.2,249,266,0.0,1
2020,180.2,249,266,0.0,1
2030,180.2,249,266,0.0,1
2040,180.2,249,266,0.0,1
2050,180.2,249,266,0.0,1
2060,180.2,249,266,0.0,1
2070,180.2,249,266,0.0,1
2080,180.2,249,266,0.0,1
2090,180.2,249,266,0.0,1
2100,180.2,249,266,0.0,1
2110,180.2,249,266,0.0,1
2120,180.2,249,266,0.0,1
2130,180.2,249,266,0.0,1
2140,180.2,249,266,0.0,1
2150,180.2,249,266,0.0,1
2160,180.2,249,266,0.0,1
2170,180.2,249,266,0.0,1
2180,180.2,249,266,0.0,1
2190,180.2,249,266,0.0,1
2200,180.2,249,266,0.0,1
2210,180.2,249,266,0.0,1
2220,180.2,249,266,0.0,1
2230,180.2,249,266,0.0,1
2240,180.2,249,266,0.0,1
2250,180.2,249,266,0.0,1
2260,180.2,249,266,0.0,1
2270,180.2,249,266,0.0,1
2280,180.2,249,266,0.0,1
2290,180.2,249,266,0.0,1
2300,180.2,249,266,0.0,1
2310,180.2,249,266,0.0,1
2320,180.2,249,266,0.0,1
2330,180.2,249,266,0.0,1
2340,180.2,249,266,0.0,1
2350,180.2,249,266,0.0,1
2360,180.2,249,266,0.0,1
2370,180.2,249,266,0.0,1
2380,180.2,249,266,0.0,1
2390,180.2,249,266,0.0,1
2400,180.2,249,266,0.0,1
2410,180.2,249,266,0.0,1
2420,180.2,249,266,0.0,1
2430,180.2,249,266,0.0,1
2440,180.2,249,266,0.0,1
2450,180.2,249,266,0.0,1
2460,180.2,249,266,0.0,1
2470,180.2,249,266,0.0,1
2480,180.2,249,266,0.0,1
2490,180.2,249,266,0.0,1
2500,180.2,249,266,0.0,1
2510,180.2,249,266,0.0,1
2520,180.2,249,266,0.0,1
2530,180.2,249,266,0.0,1
2540,180.2,249,266,0.0,1
2550,180.2,249,266,0.0,1
2560,180.2,249,266,0.0,1
2570,180.2,249,266,0.0,1
2580,180.2,249,266,0.0,1
2590,180.2,249,266,0.0,1
2600,180.2,249,266,0.0,1
2610,180.2,249,266,0.0,1
2620,180.2,249,266,0.0,1
2630,180.2,249,266,0.0,1
2640,180.2,249,266,0.0,1
2650,180.2,249,266,0.0,1
2660,180.2,249,266,0.0,1
2670,180.2,249,266,0.0,1
2680,180.2,249,266,0.0,1
2690,180.2,249,266,0.0,1
2700,180.2,249,266,0.0,1
2710,180.2,249,266,0.0,1
2720,180.2,249,266,0.0,1
2730,180.2,249,266,0.0,1
2740,180.2,249,266,0.0,1
2750,180.2,249,266,0.0,1
2760,180.2,249,266,0.0,1
