target,75.3
ms,arc,deg,pvL,pvR,sp,state
10,0.0,0.0,0,0,2.9,0
20,0.0,0.0,0,0,6.0,0
30,0.0,0.0,0,0,9.0,0
40,0.0,0.0,0,0,12.0,0
50,0.0,0.0,0,0,15.0,0
60,0.0,0.0,0,0,18.0,0
70,0.0,0.0,0,0,20.9,0
80,0.0,0.0,0,0,23.9,0
90,0.0,0.0,0,0,26.9,0
100,0.0,0.0,0,0,29.9,0
110,0.0,0.0,0,0,32.9,0
120,0.0,0.0,0,0,35.9,0
130,0.0,0.0,0,0,38.9,0
140,0.0,0.0,0,0,41.9,0
150,0.0,0.0,0,0,44.9,0
160,0.0,0.0,0,0,47.9,0
170,0.0,0.0,0,0,50.9,0
180,0.0,0.0,0,0,53.9,0
190,0.0,0.0,0,0,56.9,0
200,0.0,0.0,0,0,59.9,0
210,0.0,0.0,0,0,62.9,0
220,0.0,0.0,0,0,65.9,0
230,0.0,0.0,0,0,68.9,0
240,0.0,0.0,0,0,71.9,0
250,0.0,0.0,0,0,75.0,0
260,0.0,0.0,0,0,78.0,0
270,0.0,0.0,0,0,81.0,0
280,0.0,0.0,0,0,84.0,0
290,0.0,0.0,0,0,87.0,0
300,0.0,0.0,0,0,90.0,0
310,0.3,0.4,0,35,93.0,0
320,0.3,0.4,0,35,96.0,0
330,0.3,0.4,0,0,99.0,0
340,0.3,0.4,0,0,102.0,0
350,0.3,0.4,0,0,105.0,0
360,0.3,0.4,0,0,108.0,0
370,0.3,0.4,0,0,111.0,0
380,0.3,0.4,0,0,114.0,0
390,0.7,0.8,-35,0,117.0,0
400,0.7,0.8,-35,0,120.0,0
410,1.0,1.2,-35,0,123.0,0
420,1.4,1.6,-70,0,126.0,0
430,1.7,2.0,-35,35,129.0,0
440,2.4,2.9,-35,70,132.0,0
450,2.4,2.9,-35,35,135.0,0
460,3.1,3.7,-35,35,138.0,0
470,3.8,4.5,-70,70,141.0,0
480,4.9,5.8,-105,70,144.0,0
490,5.6,6.6,-105,70,147.0,0
500,6.6,7.9,-70,105,150.0,0
510,7.7,9.1,-105,105,150.0,0
520,8.4,10.0,-105,70,150.0,0
530,9.1,10.8,-70,70,150.0,0
540,9.8,11.6,-70,70,150.0,0
550,10.5,12.5,-70,70,150.0,0
560,11.5,13.7,-70,105,150.0,0
570,12.2,14.6,-70,105,150.0,0
580,13.6,16.2,-105,105,150.0,0
590,14.7,17.5,-140,105,150.0,0
600,15.4,18.3,-105,70,150.0,0
610,16.4,19.6,-70,105,150.0,0
620,17.5,20.8,-105,105,150.0,0
630,18.2,21.7,-105,70,150.0,0
640,19.2,22.9,-70,105,150.0,0
650,19.9,23.8,-70,105,150.0,0
660,21.3,25.4,-105,105,150.0,0
670,22.4,26.7,-140,105,150.0,0
680,23.8,28.4,-140,105,150.0,0
690,24.8,29.6,-105,140,150.0,0
700,26.2,31.3,-105,140,150.0,0
710,27.3,32.5,-140,105,150.0,0
720,28.0,33.4,-105,70,150.0,0
730,29.4,35.0,-105,105,150.0,0
740,30.8,36.7,-140,140,150.0,0
750,31.5,37.6,-105,105,150.0,0
