sp,pvL,pvR,mvL,mvR
1000,350,450,34,29
1000,650,550,20,25
1000,750,650,16,21
1000,800,700,14,19
1000,800,700,15,20
1000,750,750,18,18
1000,800,750,16,19
1000,800,750,16,20
1000,800,750,17,20
1000,800,800,17,18
1000,750,750,20,21
1000,800,800,18,19
1000,850,800,16,20
1000,850,850,17,18
1000,800,800,20,21
1000,850,850,18,19
1000,850,850,18,19
1000,900,800,16,22
1000,850,800,19,23
1000,850,800,19,23
1000,900,900,17,18
1000,900,850,17,21
1000,850,850,20,22
1000,900,850,18,22
1000,850,900,20,20
1000,900,850,18,23
1000,950,900,16,20
1000,900,900,19,21
1000,900,850,19,23
1000,900,950,19,19
1000,950,900,17,21
1000,900,850,19,24
1000,900,950,20,20
1000,950,900,17,22
1000,900,900,20,22
1000,950,950,18,20
1000,950,900,18,23
1000,950,900,18,23
1000,900,950,21,21
1000,950,900,18,23
1000,950,950,19,21
1000,900,950,21,21
1000,1000,900,16,24
1000,900,950,21,22
1000,1000,950,17,22
1000,950,900,19,24
1000,950,950,19,22
1000,950,950,19,22
1000,950,950,19,22
1000,1000,950,17,22
1000,900,1000,22,20
1000,1000,900,17,25
1000,1000,950,17,23
1000,950,1000,20,20
1000,950,950,20,23
1000,1000,950,18,23
1000,900,950,23,23
1000,1000,1000,18,21
1000,1000,950,18,23
1000,950,950,20,23
1000,1000,950,18,24
1000,950,1000,21,21
1000,1000,950,18,24
1000,950,1000,21,21
1000,1000,950,18,24
1000,950,950,21,24
1000,1000,1000,18,22
1000,1000,1000,18,22
1000,950,1000,21,22
1000,1000,950,18,24
1000,950,1000,21,22
1000,1000,950,19,24
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,950,950,21,24
1000,950,1000,21,22
1000,1000,950,19,24
1000,1000,1050,19,20
1000,950,950,21,25
1000,1000,1000,19,22
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,950,19,25
1000,1000,1050,19,20
1000,1000,950,19,25
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,950,19,25
1000,950,1050,22,20
1000,1000,950,19,25
1000,950,1000,22,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,1000,19,22
1000,1000,950,19,25
1000,1000,1050,19,20
1000,1000,950,19,25
1000,1000,950,19,25
1000,1000,1050,19,20
1000,1000,950,19,25
1000,1000,1050,19,20
1000,1000,950,19,25
1000,1000,1050,19,20
1000,950,950,22,25
1000,1000,1050,19,20
1000,1000,950,19,25
1000,1000,1050,19,20
1000,1000,950,19,25
1000,950,1000,22,22
1000,1000,1000,20,23
1000,1000,1000,19,23
1000,1000,1000,20,23
1000,1050,1000,17,23
1000,950,1000,22,23
1000,1000,1000,19,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,950,20,25
1000,1000,1050,20,20
1000,1000,950,19,25
1000,1050,1050,17,20
1000,950,950,22,25
1000,1000,1050,20,20
1000,1000,950,20,25
1000,1000,1050,20,20
1000,1000,950,20,25
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,950,19,25
1000,1050,1000,17,23
1000,950,1050,22,20
1000,1000,950,20,25
1000,1000,1050,20,20
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,950,20,25
1000,1000,1050,20,20
1000,1000,950,20,25
1000,1000,1050,20,20
1000,1000,950,20,25
1000,1000,1050,20,20
1000,1000,1000,20,23
1000,1000,1000,19,23
1000,1000,1000,20,23
1000,1000,1050,20,20
1000,1000,950,20,25
1000,1000,1050,20,20
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
1000,1000,1000,20,23
