sp,pvL,pvR,mvL,mvR
300,-50,100,-13,10
300,-100,100,-11,11
300,-50,100,-14,11
300,-100,100,-12,12
300,-150,150,-10,10
300,0,150,-18,10
300,-200,200,-8,8
300,-100,150,-14,11
300,-200,150,-9,11
300,-100,200,-15,9
300,-100,200,-15,9
300,-200,150,-10,12
300,-150,250,-13,7
300,-150,200,-13,10
300,-200,150,-11,13
300,-200,250,-12,8
300,-200,200,-12,10
300,-150,250,-15,8
300,-200,200,-12,11
300,-200,250,-13,9
300,-200,200,-13,11
300,-250,250,-11,9
300,-200,250,-13,9
300,-200,200,-14,12
300,-200,250,-14,9
300,-250,250,-12,10
300,-200,250,-14,10
300,-250,250,-12,10
300,-200,250,-15,10
300,-250,250,-12,10
300,-250,250,-12,10
300,-250,250,-13,10
300,-250,250,-13,10
300,-200,250,-15,10
300,-250,250,-13,11
300,-250,250,-13,11
300,-250,300,-13,8
300,-250,250,-13,11
300,-250,250,-14,11
300,-300,300,-11,9
300,-250,250,-14,11
300,-250,250,-14,11
300,-250,250,-14,11
300,-250,300,-14,9
300,-250,250,-14,12
300,-300,250,-12,12
300,-250,300,-14,9
300,-250,250,-14,12
300,-300,300,-12,9
300,-250,250,-15,12
300,-300,300,-12,10
300,-300,250,-12,12
300,-250,300,-15,10
300,-300,250,-12,12
300,-250,300,-15,10
300,-300,250,-12,12
300,-250,300,-15,10
300,-300,300,-12,10
300,-300,250,-13,12
300,-300,300,-13,10
300,-250,250,-15,13
300,-300,300,-13,10
300,-250,300,-15,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,250,-13,13
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-250,250,-15,13
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-250,250,-15,13
300,-350,350,-10,8
300,-250,250,-15,13
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,250,-13,13
300,-300,350,-13,8
300,-300,250,-13,13
300,-300,350,-13,8
300,-300,250,-13,13
300,-300,350,-13,8
300,-300,250,-13,13
300,-300,350,-13,8
300,-300,250,-13,13
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,250,-13,13
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,350,-13,8
300,-350,300,-10,11
300,-250,250,-15,13
300,-350,300,-10,11
300,-250,300,-15,11
300,-350,300,-10,11
300,-250,300,-15,11
300,-350,350,-10,8
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-350,300,-10,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,300,-13,11
300,-300,350,-13,8
300,-300,250,-13,13
300,-300,350,-13,8
300,-300,300,-13,11
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-350,300,-10,10
300,-300,350,-13,8
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-300,300,-13,10
300,-350,300,-10,10
300,-250,300,-15,10
300,-350,300,-10,10
300,-300,300,-13,10
300,-300,350,-13,8
300,-300,250,-13,13
300,-300,300,-13,10
300,-300,350,-13,8
300,-300,300,-13,10
300,-300,300,-12,10
300,-300,300,-13,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,350,-12,8
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-350,300,-10,10
300,-250,300,-15,10
300,-350,300,-10,10
300,-300,350,-12,8
300,-300,300,-12,10
300,-300,300,-12,10
300,-350,300,-10,10
300,-250,300,-15,10
300,-350,300,-10,10
300,-250,300,-15,10
300,-350,300,-10,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-350,300,-10,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-350,300,-10,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,250,-12,13
300,-300,350,-12,8
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,250,-12,13
300,-300,300,-12,10
300,-300,350,-12,8
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,250,-12,13
300,-300,350,-12,8
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
300,-300,300,-12,10
